sr b Me
7.541001186288552871e-01 3.285529027753971576e+01 4.981783680592202224e+00
7.563980163109851329e-01 3.277435615496055732e+01 4.990630642605111689e+00
7.586962532791540204e-01 3.269373872051195207e+01 4.999478556957509312e+00
7.609948290805504945e-01 3.261343654160258865e+01 5.008327363392451659e+00
7.632937432822405333e-01 3.253344819048967196e+01 5.017177002135501773e+00
7.655929954708506902e-01 3.245377224432231600e+01 5.026027413889288198e+00
7.678925852522535678e-01 3.237440728515959165e+01 5.034878539830764943e+00
7.701925122512593980e-01 3.229535189999894129e+01 5.043730321607204914e+00
7.724927761113110636e-01 3.221660468081545758e+01 5.052582701330921466e+00
7.747933764941844492e-01 3.213816422457306032e+01 5.061435621576976907e+00
