y_bar r2
1.595889767857910035e+00 2.344581990562026874e+00
1.599292515763790279e+00 2.347107651273165008e+00
1.602695263669670744e+00 2.349632082884454576e+00
1.606098011575551210e+00 2.352155310695667634e+00
1.609500759481431675e+00 2.354677359778909462e+00
1.612903507387311919e+00 2.357198254980506391e+00
1.616306255293192384e+00 2.359718020922941584e+00
1.619709003199072850e+00 2.362236682006760180e+00
1.623111751104953315e+00 2.364754262412468666e+00
1.626514499010833559e+00 2.367270786102172231e+00
1.629917246916714024e+00 2.369786276821875592e+00
1.633319994822594490e+00 2.372300758102984020e+00
1.636722742728474733e+00 2.374814253264025066e+00
1.640125490634355199e+00 2.377326785412714028e+00
1.643528238540235664e+00 2.379838377447773823e+00
1.646930986446116130e+00 2.382349052060442673e+00
1.650333734351996373e+00 2.384858831736541340e+00
1.653736482257876839e+00 2.387367738757865787e+00
1.657139230163757304e+00 2.389875795204289499e+00
1.660541978069637770e+00 2.392383022955277827e+00
1.663944725975518013e+00 2.394889443691674558e+00
1.667347473881398479e+00 2.397395078897359255e+00
1.670750221787278944e+00 2.399899949860849535e+00
1.674152969693159188e+00 2.402404077677101846e+00
1.677555717599039653e+00 2.404907483249135947e+00
1.680958465504920119e+00 2.407410187289651393e+00
1.684361213410800584e+00 2.409912210322691095e+00
1.687763961316680827e+00 2.412413572685137897e+00
1.691166709222561293e+00 2.414914294528427430e+00
1.694569457128441758e+00 2.417414395820157047e+00
1.697972205034322224e+00 2.419913896345491811e+00
1.701374952940202467e+00 2.422412815709048317e+00
1.704777700846082933e+00 2.424911173336077308e+00
1.708180448751963398e+00 2.427408988474129892e+00
1.711583196657843642e+00 2.429906280194769952e+00
1.714985944563724107e+00 2.432403067394695029e+00
1.718388692469604573e+00 2.434899368797739605e+00
1.721791440375485038e+00 2.437395202955880080e+00
1.725194188281365282e+00 2.439890588251051096e+00
1.728596936187245747e+00 2.442385542896349904e+00
1.731999684093126213e+00 2.444880084937662179e+00
1.735402431999006678e+00 2.447374232255064452e+00
1.738805179904886922e+00 2.449868002564153713e+00
1.742207927810767387e+00 2.452361413417597280e+00
1.745610675716647853e+00 2.454854482206427324e+00
1.749013423622528096e+00 2.457347226161501919e+00
1.752416171528408562e+00 2.459839662354796896e+00
1.755818919434289027e+00 2.462331807700899766e+00
1.759221667340169493e+00 2.464823678958177666e+00
1.762624415246049736e+00 2.467315292730418719e+00
1.766027163151930202e+00 2.469806665467768170e+00
1.769429911057810667e+00 2.472297813468354200e+00
1.772832658963691133e+00 2.474788752879449660e+00
1.776235406869571376e+00 2.477279499698880283e+00
1.779638154775451842e+00 2.479770069776187302e+00
1.783040902681332307e+00 2.482260478814036997e+00
1.786443650587212550e+00 2.484750742369343346e+00
1.789846398493093016e+00 2.487240875854528355e+00
1.793249146398973481e+00 2.489730894539038175e+00
1.796651894304853947e+00 2.492220813550115377e+00
1.800054642210734190e+00 2.494710647874480269e+00
1.803457390116614656e+00 2.497200412359212862e+00
1.806860138022495121e+00 2.499690121713037616e+00
1.810262885928375587e+00 2.502179790507645496e+00
1.813665633834255830e+00 2.504669433178718485e+00
1.817068381740136296e+00 2.507159064027166373e+00
1.820471129646016761e+00 2.509648697220251634e+00
1.823873877551897005e+00 2.512138346792914145e+00
1.827276625457777470e+00 2.514628026648590975e+00
1.830679373363657936e+00 2.517117750560537548e+00
1.834082121269538401e+00 2.519607532173006703e+00
1.837484869175418645e+00 2.522097385002218584e+00
1.840887617081299110e+00 2.524587322437558345e+00
1.844290364987179576e+00 2.527077357742652630e+00
1.847693112893060041e+00 2.529567504056376315e+00
1.851095860798940285e+00 2.532057774394090632e+00
1.854498608704820750e+00 2.534548181648449194e+00
1.857901356610701216e+00 2.537038738590681852e+00
1.861304104516581459e+00 2.539529457871624540e+00
1.864706852422461925e+00 2.542020352022620333e+00
1.868109600328342390e+00 2.544511433456621674e+00
1.871512348234222856e+00 2.547002714469181583e+00
1.874915096140103099e+00 2.549494207239528798e+00
1.878317844045983565e+00 2.551985923831447511e+00
1.881720591951864030e+00 2.554477876194464425e+00
1.885123339857744496e+00 2.556970076164754690e+00
1.888526087763624739e+00 2.559462535465867994e+00
1.891928835669505204e+00 2.561955265709968010e+00
1.895331583575385670e+00 2.564448278398881786e+00
1.898734331481266135e+00 2.566941584924866238e+00
1.902137079387146379e+00 2.569435196571379976e+00
1.905539827293026844e+00 2.571929124514217069e+00
1.908942575198907310e+00 2.574423379822742941e+00
1.912345323104787553e+00 2.576917973460260747e+00
1.915748071010668019e+00 2.579412916284989699e+00
1.919150818916548484e+00 2.581908219051518572e+00
1.922553566822428950e+00 2.584403892411021531e+00
1.925956314728309193e+00 2.586899946912590842e+00
1.929359062634189659e+00 2.589396393003851937e+00
1.932761810540070124e+00 2.591893241031911099e+00
1.936164558445950590e+00 2.594390501244363101e+00
1.939567306351830833e+00 2.596888183789894722e+00
1.942970054257711299e+00 2.599386298719331467e+00
1.946372802163591764e+00 2.601884855986502210e+00
1.949775550069472008e+00 2.604383865448702373e+00
1.953178297975352473e+00 2.606883336868050183e+00
1.956581045881232939e+00 2.609383279911970721e+00
1.959983793787113404e+00 2.611883704154029040e+00
1.963386541692993648e+00 2.614384619074832994e+00
1.966789289598874113e+00 2.616886034062759325e+00
1.970192037504754579e+00 2.619387958414759243e+00
1.973594785410635044e+00 2.621890401337221288e+00
